Technology,yr,cost.yr,yr.available,size,leadtime,overnight.base,variable.o.m,fixed.o.m,heatrate.1,heatrate.n,heatrate.1.yr,heatrate.n.yr
Scrubbed Coal New,2008,2006,2011,600,4,1434,4.46,26.79,9200,8740,2007,n
Scrubbed Coal New,2007,2005,2010,600,4,1206,4.32,25.91,8844,8600,2006,n
Scrubbed Coal New,2006,2004,2009,600,4,1167,4.18,25.07,8844,8600,2005,n
Scrubbed Coal New,2005,2003,2008,600,4,1134,4.06,24.36,8844,8600,2004,n
Scrubbed Coal New,2004,2002,2007,600,4,1091,3.1,24.81,9000,8600,2003,n
Scrubbed Coal New,2003,2001,2006,600,4,1079,3.07,24.52,9000,8600,2002,n
Conv Pulverized Coal,2002,2000,2005,400,4,1046,3.38,23.41,9386,9087,2001,2010
Conv Pulverized Coal,2001,1999,2005,400,4,1021,3.3,22.85,9419,9087,2000,2010
Scrubbed Coal New,2000,1998,1997,400,4,1102,3.33,23.03,9585,9087,1,n
Scrubbed Coal New,1999,1997,1997,400,4,1093,3.33,23.03,9585,9087,1,n
Solar Thermal,1997,1995,1999,NA,3,2836,0,25.6,NA,NA,1995,2010
Solar Thermal,1998,1996,1999,100,3,2903,0,46,NA,NA,1,n
Solar Thermal,1999,1997,1997,100,3,2904,0,46.58,NA,NA,1,n
Solar Thermal,2000,1998,1997,100,3,3059,0,46.58,NA,NA,1,n
Solar Thermal,2001,1999,2004,100,3,2394,0,46.72,102809,102809,2000,2010
Solar Thermal,2002,2000,2004,100,3,2157,0,47.87,10280,10280,2001,2010
Solar Thermal,2003,2001,2005,100,3,2204,0,48.91,10280,10280,2002,n
Solar Thermal,2004,2002,2006,100,3,2478,0,49.48,10280,10280,2003,n
Solar Thermal,2005,2003,2007,100,3,2515,0,50.23,10280,10280,2004,n
Solar Thermal,2006,2004,2008,100,3,2589,0,51.7,10280,10280,2005,n
Solar Thermal,2007,2005,2009,100,3,2675,0,53.43,10280,10280,2006,n
Solar Thermal,2008,2006,2010,100,3,3499,0,55.24,10022,10022,2007,n
Solar Thermal,2009,2007,2012,100,3,4693,0,56.78,9919,9919,2008,n
Solar Thermal,2010,2008,2012,100,3,4798,0,58.05,9884,9884,2009,n
Solar Thermal,2011,2009,2013,100,3,4333,0,63.23,9854,9854,2010,n
Solar Thermal,2012,2010,2014,100,3,4384,0,64,9760,9760,2011,n
Solar Thermal,2014,2012,2016,100,3,4715,0,67.26,9716,9716,2013,n
Solar Thermal,2015,2013,2017,100,3,3787,0,67.23,9516,9516,2014,n
Solar Thermal,2016,2015,2018,100,3,3895,0,69.17,9541,9541,2015,n
Solar Thermal,2013,2011,2015,100,3,4653,0,66.09,9756,9756,2012,n
Solar Thermal,1996,1987,1997,200,3,1660,0,19.8,NA,NA,NA,NA
Wind,1996,1987,NA,50,3,792,0,20.9,NA,NA,NA,NA
Wind,1997,1995,1996,NA,3,929,0,27.4,NA,NA,1995,2010
Wind,1998,1996,1996,50,3,1235,0,25.6,NA,NA,1,n
Wind,1999,1997,1997,50,3,1109,0,25.92,NA,NA,1,n
Wind,2000,1998,1997,50,3,993,0,25.92,NA,NA,1,n
Wind,2001,1999,2004,50,3,919,0,26,102809,102809,2000,2010
Wind,2002,2000,2004,50,3,918,0,25.54,10280,10280,2001,2010
Wind,2003,2001,2005,50,3,938,0,26.1,10280,10280,2002,n
Wind,2004,2002,2006,50,3,949,0,26.41,10280,10280,2003,n
Wind,2005,2003,2007,50,3,1060,0,26.81,10280,10280,2004,n
Wind,2006,2004,2008,50,3,1091,0,27.59,10280,10280,2005,n
Wind,2007,2005,2009,50,3,1127,0,28.51,10280,10280,2006,n
Wind,2008,2006,2010,50,3,1340,0,29.48,10022,10022,2007,n
Wind,2009,2007,2009,50,3,1797,0,30.3,9919,9919,2008,n
Wind,2010,2008,2009,50,3,1837,0,30.98,9884,9884,2009,n
Wind,2011,2009,2011,100,3,2251,0,27.73,9854,9854,2010,n
Wind,2012,2010,2011,100,3,2278,0,28.07,9760,9760,2011,n
Wind,2013,2011,2013,100,3,2032,0,38.86,9756,9756,2012,n
Wind,2014,2012,2014,100,3,2061,0,39.55,9716,9716,2013,n
Wind,2015,2013,2017,100,3,1850,0,39.53,9516,9516,2014,n
Wind,2016,2015,2018,100,3,1536,0,45.98,9541,9541,2015,n
Wind Offshore,2008,2006,2011,100,4,2547,0,87.05,10022,10022,2007,n
Wind Offshore,2009,2007,2012,100,4,3416,0,89.48,9919,9919,2008,n
Wind Offshore,2010,2008,2013,100,4,3492,0,86.92,9884,9884,2009,n
Wind Offshore,2011,2009,2014,400,4,4404,0,86.98,9854,9854,2010,n
Wind Offshore,2012,2010,2015,400,4,4345,0,53.33,9760,9760,2011,n
Wind Offshore,2013,2011,2016,400,4,4452,0,72.71,9756,9756,2012,n
Wind Offshore,2014,2012,2017,400,4,4503,0,74,9716,9716,2013,n
Wind Offshore,2015,2013,2018,400,4,4476,0,73.96,9516,9516,2014,n
Wind Offshore,2016,2015,2019,400,4,4605,0,76.1,9541,9541,2015,n
